"seg_id","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","grandfathered_from_listings","data_supported","stayCALM_param_eval"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","fishing","IR5_impaired_confirmed","pcbs","yes","no","unassessed"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","primary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","secondary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0002","Canadice Lake",413000302,"Genesee River","aa(ts)","pond","IR5_impaired","source_of_water_supply","IR1_stressed_confirmed","ammonia; chloride","no","yes","stressed_confirmed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","impaired_unconfirmed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","unassessed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","impaired_unconfirmed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","unassessed"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0004","Conesus Lake",413000301,"Genesee River","aa","pond","IR5_impaired","source_of_water_supply","IR1_stressed_confirmed","ammonia; chloride","no","yes","stressed_confirmed"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","primary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","secondary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0011","Hemlock Lake",413000302,"Genesee River","aa(t)","pond","IR2_some-uses-supported","source_of_water_supply","IR1_stressed_confirmed","ammonia; chloride; nitrate_nitrite","no","yes","stressed_confirmed"
