PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY2230110,"CAPE VINCENT TOWN WD 3, 4, & 6",Community water system,Surface water purchased,Jefferson,,770,3,Local government
NY2202333,CAPE VINCENT VILLAGE,Community water system,Surface water,Jefferson,CAPE VINCENT (V),1500,8,Local government
NY3905684,CAPRI ESTATES,Community water system,Ground water,Putnam,CARMEL (T),140,4,Private
NY2810477,CAPSTONE CENTER FOR REHAB AND NURSING,Community water system,Ground water,Montgomery,AMSTERDAM (T),330,7,Private
NY3304310,CARDIFF TOOKES SPRING,Community water system,Groundwater under influence of surface water,Onondaga,LA FAYETTE (T),152,7,Private
NY2902818,CARLE PLACE WD,Community water system,Ground water,Nassau,NORTH HEMPSTEAD (T),9005,14,Public/Private
NY3100565,CARLISLE GARDENS LOCKPORT WD#1,Community water system,Surface water purchased,Niagara,LOCKPORT (C),323,2,Local government
NY3604569,CARLTON WATER DISTRICT,Community water system,Surface water purchased,Orleans,CARLTON (T),2800,3,Local government
NY3921719,CARMEL WD 12,Community water system,Ground water,Putnam,CARMEL (T),100,5,Local government
NY3905700,CARMEL WD 14,Community water system,Ground water,Putnam,CARMEL (T),400,6,Private
NY3903641,CARMEL WD 2,Community water system,Surface water,Putnam,CARMEL (T),5000,4,Local government
NY3903642,CARMEL WD 3,Community water system,Ground water,Putnam,CARMEL (T),1600,7,Local government
NY3905675,CARMEL WD 4,Community water system,Ground water,Putnam,CARMEL (T),700,8,Local government
NY3905698,CARMEL WD 5,Community water system,Ground water,Putnam,CARMEL (T),180,6,Local government
NY3905709,CARMEL WD 6-SHELL VALLEY,Community water system,Ground water,Putnam,CARMEL (T),324,5,Local government
NY3909761,CARMEL WD 6-TOMAHAWK CREEK,Community water system,Ground water,Putnam,CARMEL (T),80,4,Local government
NY3905697,CARMEL WD 7,Community water system,Ground water,Putnam,CARMEL (T),300,8,Local government
NY3903644,CARMEL WD 8,Community water system,Surface water,Putnam,CARMEL (T),1600,5,Local government
NY3903648,CARMEL WD 9,Community water system,Ground water,Putnam,CARMEL (T),440,5,Local government
NY1030269,CARMELITE SISTERS,Community water system,Ground water,Columbia,GERMANTOWN (T),35,7,Private
NY3915411,CARPENTER TRAILER PARK,Community water system,Ground water,Putnam,CARMEL (T),100,5,Private
NY0700770,CARRIAGE ESTATES,Community water system,Ground water,Chemung,ASHLAND (T),300,4,Private
NY0600365,CARROLL (T) WATER DISTRICT,Community water system,Ground water,Chautauqua,CARROLL (T),2600,15,Local government
NY0400342,CARROLLTON LIMESTONE TOWN WATER DISTRICT,Community water system,Ground water,Cattaraugus,CARROLLTON (T),459,6,Local government
NY2202334,CARTHAGE VILLAGE,Community water system,Surface water,Jefferson,CARTHAGE (V),3600,8,Local government
NY0600356,CASSADAGA VILLAGE,Community water system,Ground water,Chautauqua,CASSADAGA (V),760,14,Local government
NY1330735,CASTAGNA WELLNESS WATER COMPANY,Community water system,Ground water,Dutchess,PAWLING (T),100,5,Private
NY6000610,CASTILE VILLAGE,Community water system,Ground water,Wyoming,CASTILE (V),1135,12,Local government
NY0310321,CASTLE CREEK ESTATES,Community water system,Ground water,Broome,CHENANGO (T),235,12,Private
NY1319115,CASTLE GATE PARK,Community water system,Ground water,Dutchess,AMENIA (T),75,4,Private
NY3501336,CASTLE HIGH TRAILER PARK,Community water system,Ground water,Orange,GREENVILLE (T),325,21,Private
NY1319255,CASTLE POINT MEDICAL CENTER,Community water system,Groundwater under influence of surface water,Dutchess,FISHKILL (T),1500,16,Federal government
NY4100035,CASTLETON VILLAGE PWS,Community water system,Ground water,Rensselaer,SCHODACK (T),2413,9,Local government
NY2402359,CASTORLAND VILLAGE,Community water system,Ground water,Lewis,CASTORLAND (V),320,5,Local government
NY2902859,CATHEDRAL GARDENS WD,Community water system,Ground water purchased,Nassau,HEMPSTEAD (T),1500,3,Local government
NY0501715,CATO VILLAGE,Community water system,Ground water,Cayuga,CATO (V),601,6,Local government
NY1900026,CATSKILL VILLAGE,Community water system,Surface water,Greene,"CATSKILL (T), CATSKILL (V)",8000,7,Local government
NY1930000,CATSKILL WATER DISTRICT NO. 1,Community water system,Surface water purchased,Greene,CATSKILL (T),105,3,Local government
NY0400335,CATTARAUGUS VILLAGE,Community water system,Groundwater under influence of surface water,Cattaraugus,CATTARAUGUS (V),1185,15,Local government
NY0530012,CAYUGA COUNTY WATER & SEWER,Community water system,Surface water purchased,Cayuga,AUBURN (C),200,8,Private
NY5404411,CAYUGA HEIGHTS VILLAGE,Community water system,Surface water purchased,Tompkins,ITHACA (C),3170,3,Local government
NY0506426,CAYUGA LAKE MOBILE HOME PARK,Community water system,Ground water,Cayuga,LOCKE (T),463,4,Private
NY4930009,CAYUGA LAKE WATER DISTRICT # 3,Community water system,Surface water purchased,Seneca,,432,4,Local government
NY2602371,CAZENOVIA VILLAGE,Community water system,Ground water,Madison,CAZENOVIA (V),3635,10,Local government
NY0530047,"CCWSA PHASE 1A:AUR, FLEM, SPRING",Community water system,Surface water purchased,Cayuga,AURELIUS (T),180,2,Private
NY4110695,CEDAR ACRES MOBILE HOME PARK,Community water system,Ground water,Rensselaer,SCHODACK (T),276,11,Private
NY5903478,CEDAR DOWNS WATER DISTRICT,Community water system,Ground water,Westchester,BEDFORD (T),195,7,Local government
NY1330337,CEDAR MEADOWS WATER CORP,Community water system,Ground water,Dutchess,BEEKMAN  (T),250,8,Private
NY1322057,CEDAR VALLEY WATERWORKS,Community water system,Ground water,Dutchess,"NEW YORK (C), PAWLING (T)",300,14,Private
NY2110538,CEDARHURST PARK,Community water system,Ground water,Herkimer,WINFIELD (T),130,8,Private
NY3830079,CENTER HEALTHCARE,Community water system,Ground water,Otsego,OTSEGO (T),304,4,Local government
NY4700093,CENTRAL BRIDGE WATER DISTRICT,Community water system,Surface water,Schoharie,"ESPERANCE (T), SCHOHARIE (T)",593,7,Local government
NY4701524,CENTRAL PARK,Community water system,Ground water,Schoharie,SCHOHARIE (T),35,5,Private
NY1400423,CHAFFEE WATER CO,Community water system,Ground water,Erie,SARDINIA (T),200,5,Private
NY5000735,CHAMBERLAINS PARK,Community water system,Ground water,Steuben,BATH (T),68,5,Private
NY4410156,CHAMPION ESTATES,Community water system,Ground water,St. Lawrence,CANTON (T),82,5,Private
NY3300981,CHAMPION PARK,Community water system,Ground water,Onondaga,ELBRIDGE (T),400,9,Private
