seg_id,waterbody,huc_10,basin_name,class,water_type,segment_assessment,use,use_assessment,parameter,grandfathered_from_listings,data_supported,stayCALM_param_eval
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,primary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,secondary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0071,Hiram Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0105-0009,Lake Erie (Dunkirk Harbor),0412010102,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0105-0009,Lake Erie (Dunkirk Harbor),0412010102,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0105-0009,Lake Erie (Dunkirk Harbor),0412010102,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
