"","LAKE_HISTORY_ID","waterbody","LOCATION_PWL_ID","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"35","1302MAH0053","Lake Mahopac","1302-0007","NY3903644","CARMEL WD 8","Community water system","Surface water","Putnam","CARMEL (T)","1600","5","Local government"
"36","0300ONT0000","Henderson Bay","0303-0022","NY2202333","CAPE VINCENT VILLAGE","Community water system","Surface water","Jefferson","CAPE VINCENT (V)","1500","8","Local government"
"37","0300ONT0000","Henderson Bay","0303-0022","NY3600599","LYNDONVILLE VILLAGE","Community water system","Surface water","Orleans","LYNDONVILLE (V)","1418","6","Local government"
"38","0905STA0281","Star Lake","0905-0180","NY4404398","STAR LAKE WATER DISTRICT","Community water system","Surface water","St. Lawrence","FINE (T)","1250","9","Local government"
"39","0601ALL0405","Allen Lake","0601-0117","NY3800156","RICHFIELD SPRINGS VILLAGE","Community water system","Surface water","Otsego","RICHFIELD SPRINGS (V)","1200","7","Local government"
"40","1201FON0678A","Fonda Reservoir","1201-0123","NY2800138","FONDA (V) WATER WORKS","Community water system","Surface water","Montgomery","FONDA  (V)","1080","9","Local government"
"41","0300ONT0000","Henderson Bay","0303-0022","NY2209487","TIBA - BOLDT CASTLE","Transient non-community system","Surface water","Jefferson","ALEXANDRIA BAY (V)","1000","12","Public/Private"
"42","1501STA1011","Lake Stahahe","1501-0053","NY3517675","LAKE STAHAHE WS","Transient non-community system","Surface water","Orange","TUXEDO (T)","1000","4","State government"
"43","1301TIO0152","Lake Tiorati","1301-0129","NY3517682","LAKE TIORATI WS","Transient non-community system","Surface water","Orange","WOODBURY (T)","999","4","State government"
"44","1202UWB0599","Richmondville Reservoir","1202-0038","NY4700097","RICHMONDVILLE VILLAGE","Community water system","Surface water","Schoharie","RICHMONDVILLE (V)","918","7","Local government"
"45","0300ONT0000","Henderson Bay","0303-0022","NY2218318","THOUSAND ISLAND PARK CORP.","Transient non-community system","Surface water","Jefferson","ORLEANS (T)","900","5","Private"
"46","1301SUM0193","Bull Pond, Barnes Lake, Summit Lake","1301-0165","NY3517676","SUMMIT LAKE WS","Transient non-community system","Surface water","Orange","WOODBURY (T)","900","8","State government"
