seg_id,within_period,use,type,parameter,fraction,units,n_samples_collected,n_years_sampled,n_exceedances,n_years_w_exceedances,n_no_result_value_provided,n_threshold_data_absent,notes
0105-0029,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,5,2,0,0,0,4,none
0105-0029,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,6,1,0,0,0,0,none
0105-0029,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,2,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0105-0029,TRUE,fishing,none,ph,total,ph_units,4,2,0,0,0,0,none
0105-0029,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,0,0,0,0,none
0105-0029,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,6,2,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,5,2,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,5,2,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,6,2,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,5,1,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,6,1,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,3,1,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,4,2,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,nitrite,total,ug/l,6,1,0,0,0,0,none
0105-0029,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,6,2,0,0,0,0,none
0105-0034,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0201-0016,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,136,11,0,0,0,136,none
0201-0016,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,45,5,0,0,0,0,none
0201-0016,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,150,19,6,6,0,0,none
0201-0016,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,150,19,6,6,0,0,none
0201-0016,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,117,10,0,0,0,117,none
0201-0016,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,65,9,2,2,0,0,none
0201-0016,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,65,9,2,2,0,0,none
0201-0020,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,11,2,0,0,0,9,none
0201-0020,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,3,1,6,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0020,FALSE,fishing,none,ph,total,ph_units,3,1,0,0,0,0,none
0201-0023,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,4,2,0,0,0,4,none
0201-0023,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,2,2,2,0,0,none
0201-0023,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,2,2,2,0,0,none
0201-0023,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,23,1,0,0,0,14,none
0201-0023,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,9,1,3,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0023,TRUE,fishing,none,ph,total,ph_units,9,1,1,1,0,0,none
0201-0023,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0201-0023,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0201-0030,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0030,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0030,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,6,2,0,0,0,5,none
0201-0030,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,5,2,8,2,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0030,TRUE,fishing,none,ph,total,ph_units,5,2,3,1,0,0,none
0201-0030,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0030,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0033,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0201-0033,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0033,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0201-0033,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,7,2,0,0,0,5,none
0201-0033,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,6,3,6,2,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0033,TRUE,fishing,none,ph,total,ph_units,6,3,4,2,0,0,none
0201-0033,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,10,2,0,0,0,0,none
0201-0033,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,10,2,0,0,0,0,none
0201-0035,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,2,0,0,0,1,none
0201-0035,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,3,1,1,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0035,FALSE,fishing,none,ph,total,ph_units,3,1,1,1,0,0,none
0201-0035,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0201-0035,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0201-0072,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,7,1,0,0,0,5,none
0201-0072,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,3,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0201-0072,TRUE,fishing,none,ph,total,ph_units,2,1,0,0,0,0,none
0201-0072,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0201-0072,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
