seg_id,within_period,use,type,parameter,fraction,units,n_samples_collected,n_years_sampled,n_exceedances,n_years_w_exceedances,n_no_result_value_provided,n_threshold_data_absent,notes
1104-0026,TRUE,fishing,none,ph,total,ph_units,4,1,3,1,0,0,none
1104-0027,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0027,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0027,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0027,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0027,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0027,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0031,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,42,5,0,0,0,0,none
1104-0031,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,42,5,0,0,0,0,none
1104-0031,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,31,5,0,0,0,0,none
1104-0031,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,9,2,0,0,0,7,none
1104-0031,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,5,2,8,2,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0031,TRUE,fishing,none,ph,total,ph_units,5,2,2,1,0,0,none
1104-0031,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,2,2,0,0,0,0,none
1104-0031,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,2,2,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,5,2,3,1,0,0,none
1104-0031,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,5,2,3,1,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,9,2,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,6,2,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,7,2,0,0,0,0,none
1104-0031,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,9,2,0,0,0,0,none
1104-0037,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,37,3,0,0,0,36,none
1104-0037,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0037,FALSE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
1104-0037,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,74,10,0,0,0,0,none
1104-0037,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,74,10,0,0,0,0,none
1104-0037,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,2,1,0,0,none
1104-0037,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,3,1,0,0,none
1104-0037,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,37,3,0,0,0,0,none
1104-0037,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,8,1,0,0,0,0,none
1104-0037,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,8,1,0,0,0,0,none
1104-0037,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,87,11,0,0,0,0,none
1104-0037,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,8,1,0,0,0,0,none
1104-0037,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,44,4,0,0,0,44,none
1104-0037,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,2,2,3,2,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0037,TRUE,fishing,none,ph,total,ph_units,2,2,0,0,0,0,none
1104-0037,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,20,3,0,0,0,0,none
1104-0037,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,20,3,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,44,4,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,14,4,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,20,3,0,0,0,0,none
1104-0037,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
1104-0043,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0043,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0047,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,26,2,0,0,0,26,none
1104-0047,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,37,5,0,0,0,0,none
1104-0047,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,37,5,0,0,0,0,none
1104-0047,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,26,2,0,0,0,0,none
1104-0047,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,38,4,0,0,0,0,none
1104-0047,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0047,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0047,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,1,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,1,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0047,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
1104-0049,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0049,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0049,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0049,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0049,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0049,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0050,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,41,4,0,0,0,41,none
1104-0050,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,5,2,0,0,0,0,none
1104-0050,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,113,14,0,0,0,0,none
1104-0050,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,113,14,0,0,0,0,none
1104-0050,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
1104-0050,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,41,4,0,0,0,0,none
1104-0050,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,2,0,0,0,0,none
1104-0050,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,111,14,0,0,0,0,none
1104-0050,FALSE,source_of_water_supply,health_water-source,nitrite,total,ug/l,5,2,0,0,0,0,none
1104-0050,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,58,5,0,0,0,58,none
1104-0050,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0050,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0050,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,24,3,0,0,0,0,none
1104-0050,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,24,3,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,1,1,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,58,5,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,13,4,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,30,5,0,0,0,0,none
1104-0050,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
1104-0051,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,71,6,0,0,0,71,none
1104-0051,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0051,TRUE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
1104-0051,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,43,6,0,0,0,0,none
1104-0051,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,43,6,0,0,0,0,none
1104-0051,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,71,6,0,0,0,0,none
1104-0051,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,16,5,0,0,0,0,none
1104-0051,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,27,5,0,0,0,0,none
1104-0059,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,4,2,0,0,0,3,none
1104-0059,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,5,2,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0059,TRUE,fishing,none,ph,total,ph_units,5,2,2,1,0,0,none
1104-0061,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0061,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0074,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0074,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,34,5,0,0,0,0,none
1104-0074,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,34,5,0,0,0,0,none
1104-0075,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,51,4,0,0,0,49,none
1104-0075,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0075,FALSE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
1104-0075,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,39,7,0,0,0,0,none
1104-0075,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,39,7,0,0,0,0,none
1104-0075,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,36,3,0,0,0,36,none
1104-0075,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,23,3,0,0,0,0,none
1104-0075,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,23,3,0,0,0,0,none
1104-0105,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,208,11,0,0,0,208,none
1104-0105,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,19,3,0,0,0,0,none
1104-0105,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,215,19,0,0,0,0,none
1104-0105,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,215,19,0,0,0,0,none
1104-0105,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,286,10,0,0,0,286,none
1104-0105,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,142,9,0,0,0,0,none
1104-0105,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,142,9,0,0,0,0,none
1104-0111,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
1104-0111,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0111,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,1,1,0,0,none
1104-0111,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,1,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0111,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
1104-0111,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
1104-0111,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0111,TRUE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
1104-0111,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,1,1,0,0,none
1104-0111,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,0,0,0,0,none
1104-0111,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
1104-0111,TRUE,source_of_water_supply,health_water-source,copper,total,ug/l,1,1,0,0,0,0,none
1104-0111,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0111,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
1104-0113,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0113,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0113,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
1104-0113,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
1104-0113,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0113,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
1104-0113,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,6,2,0,0,0,6,none
1104-0113,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0113,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,3,2,6,2,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0113,TRUE,fishing,none,ph,total,ph_units,3,2,3,2,0,0,none
1104-0113,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0113,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,5,2,4,2,0,0,none
1104-0113,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,5,2,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,6,2,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,4,2,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,4,2,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,2,1,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,5,2,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0113,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,6,2,0,0,0,0,none
1104-0114,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0114,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,1,1,1,1,0,0,none
1104-0114,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0114,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_acute,arsenic,dissolved,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_acute,copper,dissolved,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_acute,nickel,dissolved,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0115,TRUE,fishing,aquatic_chronic,arsenic,dissolved,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_chronic,copper,dissolved,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_chronic,nickel,dissolved,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0115,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0115,TRUE,fishing,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
1104-0115,TRUE,secondary_contact_recreation,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
1104-0115,TRUE,primary_contact_recreation,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
1104-0115,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0115,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0115,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,1,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,copper,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,nickel,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,4,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0115,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
1104-0119,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0119,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
1104-0121,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,7,1,0,0,0,7,none
1104-0121,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,8,1,1,1,0,0,none
1104-0121,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,8,1,1,1,0,0,none
1104-0125,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
1104-0125,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,1,1,1,1,0,0,none
1104-0125,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0125,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
1104-0127,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
1104-0127,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0127,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0127,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0127,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,2,1,0,0,none
1104-0127,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,1,1,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,1,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,nitrite,total,ug/l,2,1,0,0,0,0,none
1104-0127,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
1104-0140,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
1104-0140,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
1104-0140,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
1104-0140,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0140,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0162,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
1104-0162,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0162,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
1104-0162,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,1,1,0,0,none
1104-0162,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,1,1,0,0,none
1104-0162,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
1104-0162,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
1104-0162,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
