"LAKE_HISTORY_ID","LOCATION_PWL_ID","within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","X","waterbody","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"0202CHA0122","0202-0072",FALSE,"source_of_water_supply","health_water-source","arsenic","total","ug/l",9,4,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",155,23,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",104,11,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",104,11,0,0,0,104,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",127,10,0,0,0,127,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",53,9,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0301-0018",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",4,1,0,0,0,4,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0302-0058",TRUE,"fishing","none","ph","total","ph_units",3,2,2,1,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0302-0058",TRUE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,1,1,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0302-0058",TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",4,2,0,0,0,2,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0302-0058",TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",3,2,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0302-0058",TRUE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",1,1,1,1,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0303-0002",TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",5,4,2,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0303-0002",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",58,6,6,6,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0303-0002",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",7,1,0,0,0,7,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0303-0002",TRUE,"fishing","none","ph","total","ph_units",5,4,1,1,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0300ONT0000","0303-0002",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",58,6,6,6,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
